"","Year","state","Prevalencepercent","athsmaprevalence","Ozone","PM10","NO2"
"104",2012,"Indiana",9.1,"442,680",0.0506452325581395,22.370431826087,15.268239125
"105",2012,"Iowa",8.1,"188,705",0.0477762833333333,23.0045579444444,9.452659
"106",2012,"Kansas",8.4,"180,531",0.052637025,23.40412385,11.991683375
"107",2012,"Kentucky",11.1,"369,728",0.0493784838709677,18.8999923571429,10.8578228
"108",2012,"Louisiana",7.4,"257,996",0.042239,21.93123775,11.6196245
"109",2012,"Maine",11.1,"116,515",0.0388529583333333,16.2599615555556,8.50256533333333
"110",2012,"Maryland",9,"406,179",0.050934075,13.2220176,18.4105113333333
"111",2012,"Massachusetts",10.8,"560,857",0.0451356617647059,13.8802464,13.414464875
"112",2012,"Michigan",10.5,"788,263",0.0504307583333333,25.6471286818182,15.0303387
"113",2012,"Minnesota",8,"323,633",0.0420244047619048,19.2657117727273,9.60021975
"114",2012,"Mississippi",8.1,"180,261",0.045420225,17.37747,7.988812
"115",2012,"Missouri",10.4,"476,653",0.0521592826086957,26.212707,21.165905
"116",2012,"Montana",9.5,"73,308",0.0417857857142857,20.9039145423729,2.69491983333333
"117",2012,"Nebraska",7.4,"102,100",0.04591165,31.7462295384615,NA
"118",2012,"Nevada",7.4,"151,859",0.0494983878787879,27.9749814383562,20.7151705
"119",2012,"New Hampshire",10.2,"105,724",0.0428001041666667,10.60442375,2.65207
"120",2012,"New Jersey",8.7,"586,962",0.0469968970588235,29.4247943333333,20.5237521875
"121",2012,"New Mexico",9.2,"144,774",0.04866898,30.8566173768116,12.6726506
"122",2012,"New York",9.3,"1,395,293",0.0421478157894737,NA,18.8040249166667
"123",2012,"North Carolina",7.7,"568,927",0.0465120333333333,14.7952338125,14.28743775
"124",2012,"North Dakota",7.6,"40,781",0.04461340625,15.262859,5.34710755555556
"125",2012,"Ohio",10.5,"922,479",0.0504106176470588,21.6636797,19.294304
"126",2012,"Oklahoma",10.2,"291,991",0.0506929479166667,23.0274185,11.8030787
"127",2012,"Oregon",10.6,"318,757",0.04130575,13.7246488,13.720114
"128",2012,"Pennsylvania",10.1,"1,004,566",0.0474383227272727,17.794592745098,13.5514199047619
"129",2012,"Rhode Island",10.8,"89,012",0.0481664166666667,13.1337232,9.0114825
"130",2012,"South Carolina",8.7,"312,984",0.0431521785714286,17.7266185,9.32060525
"131",2012,"South Dakota",7.5,"46,535",0.0522195,20.3002531,8.1822872
"132",2012,"Tennessee",7.7,"380,597",0.049789125,18.7908786296296,13.758771875
"133",2012,"Texas",6.8,"1,304,181",0.0429622294117647,25.1213108846154,11.9404241276596
"134",2012,"Utah",8.9,"174,531",0.058403974137931,21.0135798947368,12.6289243571429
"135",2012,"Vermont",10.9,"54,220",0.043554875,6.9196695,11.0499115
"136",2013,"Alabama",8.5,"315,398",0.0409836739130435,17.13254908,17.602023
"137",2013,"Alaska",9.3,"51,014",0.029926375,14.9011525217391,NA
"138",2013,"Arizona",8.9,"441,614",0.0512725277777778,34.4925371143911,23.5401480714286
"139",2013,"Arkansas",8.3,"185,212",0.0433938055555556,18.4437,15.18722375
"140",2013,"California",8.7,"2,548,191",0.0445222569832402,30.0579769383562,15.9778314757282
"141",2013,"Colorado",8.7,"348,956",0.0554932007575758,20.3581772542373,12.93542445
"142",2013,"Connecticut",9.8,"274,183",0.0488100416666667,12.6307132,15.0431376
"143",2013,"Delaware",10.6,"76,190",0.0441642857142857,NA,10.1326776666667
"144",2013,"Florida",8.3,"1,282,736",0.0376688070175439,16.4872545,8.74549327777778
"145",2013,"Georgia",8.4,"628,066",0.0408572738095238,16.0044506,8.5416295
"146",2013,"Hawaii",9.4,"102,769",0.02994125,15.2117965,5.49058425
"147",2013,"Idaho",8.5,"100,609",0.0466511,19.0990205555556,19.1027565
"148",2013,"Illinois",7.6,"743,344",0.04323075,28.4783245,21.1015398571429
"149",2013,"Indiana",10.3,"509,427",0.0456123352272727,19.66882375,12.5472499285714
"150",2013,"Iowa",7.8,"182,246",0.0422288333333333,24.7379764827586,9.9482645
"151",2013,"Kansas",8.9,"192,137",0.046551475,20.1000650555556,10.47539075
"152",2013,"Kentucky",9.5,"317,648",0.0428913275862069,16.3556976666667,11.7365183333333
"153",2013,"Louisiana",7.7,"271,281",0.0391960625,20.42291675,10.6938326
"154",2013,"Maine",11.9,"126,067",0.03853896875,15.0868756666667,8.38293333333333
"155",2013,"Maryland",9.4,"432,373",0.0463371375,13.2933884,16.7755868333333
"156",2013,"Massachusetts",11.4,"598,720",0.0430289852941176,15.2094357777778,14.6573025416667
"157",2013,"Michigan",11.5,"866,052",0.045768525,20.8006815454545,14.2455801
"158",2013,"Minnesota",7.7,"316,074",0.0397726323529412,19.34070625,10.7454131
"159",2013,"Mississippi",8.2,"183,571",0.041634825,19.4645455,7.9662465
"160",2013,"Missouri",10.8,"497,058",0.0455617391304348,21.3456554285714,19.2395849166667
"161",2013,"Montana",8.6,"67,655",0.0416144,15.8806278909091,2.54377927272727
"162",2013,"Nebraska",7.3,"102,357",0.04158465,24.4195572307692,NA
"163",2013,"Nevada",7.6,"160,895",0.0481626689189189,22.7254615714286,20.262656
"164",2013,"New Hampshire",11,"114,563",0.0413228541666667,10.7845555,2.41734
"165",2013,"New Jersey",9,"617,677",0.0442712941176471,19.560698,20.10785475
"166",2013,"New Mexico",9.2,"144,557",0.04756094,28.890718761194,11.69635605
"167",2013,"New York",9.7,"1,486,160",0.041180875,NA,20.1525284
"168",2013,"North Carolina",8.4,"635,130",0.0416406467391304,15.1513585,12.387471
"169",2013,"North Dakota",8.3,"46,173",0.0428901111111111,13.8116478125,4.91645605555556
"170",2013,"Ohio",9.7,"858,509",0.0436844607843137,19.4658196734694,16.8638225
"171",2013,"Oklahoma",9,"259,863",0.0456461979166667,19.0445275384615,10.8514395454545
"172",2013,"Oregon",11.4,"344,524",0.03827605,16.4761571538462,13.735842
"173",2013,"Pennsylvania",9.6,"955,374",0.044445275862069,17.0559954150943,12.1461575681818
"174",2013,"Rhode Island",12,"98,948",0.0466199166666667,13.6076496,9.88207733333333
"175",2013,"South Carolina",8.4,"309,058",0.038261130952381,15.1899625,8.912788375
"176",2013,"South Dakota",7.9,"50,099",0.047048875,18.55594445,6.8765871
"177",2013,"Tennessee",7.1,"354,385",0.0438923541666667,16.4054088055556,16.1469866
"178",2013,"Texas",7.3,"1,414,459",0.0420742864583333,24.6124938648649,11.4370115952381
"179",2013,"Utah",9,"181,925",0.0539323161764706,21.3726746666667,11.4797235434783
"180",2013,"Vermont",11.3,"56,397",0.040887875,9.4370195,11.07801025
"181",2014,"Alabama",9.5,"353,847",0.0422094891304348,18.50998388,18.6645175
"182",2014,"Alaska",8.1,"44,865",0.0278905,20.9640287631579,17.8842915
"183",2014,"Arizona",9.6,"484,115",0.0498546611111111,36.6565771591837,21.7275185555556
"184",2014,"Arkansas",8.8,"197,478",0.0406388055555556,17.7550623333333,14.32094425
"185",2014,"California",7.8,"2,279,568",0.0459638269230769,34.3615949320388,15.5577404716981
"186",2014,"Colorado",8.4,"342,994",0.0527989,20.7767148,13.997873
"187",2014,"Connecticut",9.2,"257,311",0.0469850625,12.301201,14.7609167
"188",2014,"Delaware",8.8,"63,855",0.0447164642857143,NA,10.5207763333333
"189",2014,"Florida",8,"1,268,162",0.0397487161016949,15.8247042142857,11.2238997727273
"190",2014,"Georgia",8.3,"626,931",0.0427374047619048,16.1541596,13.243571375
"191",2014,"Hawaii",9.2,"102,093",0.027880625,15.8199998333333,5.82195875
"192",2014,"Idaho",8.6,"103,201",0.0496466666666667,17.0739749230769,18.64669125
"193",2014,"Illinois",9.1,"898,521",0.0430001554054054,31.504099,20.6492605
"194",2014,"Indiana",10.7,"532,909",0.0447173586956522,20.6801182105263,14.5183249375
